timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
4959290,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4959340,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4959390,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4959440,-3.0,-64.9,0.3,-0.00,-0.01,0.04
4959490,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959540,-3.0,-64.9,0.3,-0.00,0.03,-0.01
4959590,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959640,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959690,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959740,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4959790,-3.0,-64.9,0.3,-0.00,-0.01,0.04
4959840,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959890,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959940,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4959990,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4960040,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4960090,-3.0,-64.9,0.3,-0.00,0.03,-0.01
4960140,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960190,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4960240,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960290,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960340,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960390,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960440,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960490,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960540,-3.0,-64.9,0.3,-0.01,0.00,-0.01
4960590,-3.0,-64.9,0.3,-0.01,0.00,0.03
4960641,-3.0,-64.9,0.2,-0.00,0.00,-0.01
4960691,-3.0,-64.9,0.2,-0.01,0.04,-0.01
4960741,-3.0,-64.9,0.2,-0.00,-0.01,-0.01
4960791,-3.0,-64.9,0.2,-0.00,-0.01,-0.01
4960841,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4960891,-3.0,-64.9,0.3,-0.00,-0.01,-0.00
4960941,-3.0,-64.9,0.3,-0.00,0.00,-0.01
4960991,-3.0,-64.9,0.3,-0.01,0.04,-0.01
4961041,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4961091,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4961141,-3.0,-64.9,0.2,-0.00,-0.01,-0.00
4961191,-3.0,-64.9,0.2,-0.00,0.03,-0.00
4961241,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4961291,-3.0,-64.9,0.3,-0.00,-0.01,0.03
4961341,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4961391,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4961441,-3.0,-64.9,0.3,-0.00,0.03,-0.01
4961491,-3.0,-64.9,0.3,-0.00,-0.01,-0.01
4961541,-3.0,-64.9,0.3,-0.00,-0.01,0.03
4961591,-3.0,-64.9,0.3,-0.00,-0.35,0.02
4961641,-2.9,-64.1,0.4,0.04,0.75,-0.02
4961691,-2.9,-64.1,0.4,0.02,-0.29,0.14
4961741,-2.4,-65.3,0.7,0.11,0.33,-0.22
4961791,-2.4,-65.3,0.7,-0.14,-0.86,0.13
4961841,-2.1,-67.7,-0.2,-1.12,-0.03,1.05
4961891,-2.1,-67.7,-0.2,-0.98,-0.29,0.86
4961941,-3.7,-69.8,-0.9,-1.02,0.47,0.13
4961991,-3.7,-69.8,-0.9,-0.92,-0.51,-0.09
4962041,-4.6,-71.5,-2.0,-0.60,0.33,-0.44
4962092,-4.6,-71.5,-2.0,-0.55,-0.05,-0.16
4962142,-4.4,-73.2,-1.6,-0.27,-0.55,-0.33
4962193,-4.4,-73.2,-1.6,-0.30,0.63,-0.29
4962243,-4.2,-74.2,-1.7,0.02,-0.04,-0.07
4962293,-4.2,-74.2,-1.7,0.05,0.39,0.13
4962343,-4.8,-74.4,-1.8,0.07,0.93,-0.14
4962393,-4.8,-74.4,-1.8,0.18,0.56,-0.29
4962443,-4.9,-73.0,-1.8,0.36,0.18,0.09
4962493,-4.9,-73.0,-1.8,0.11,0.74,-0.79
4962543,-4.4,-70.7,-1.4,0.44,0.40,-0.52
4962593,-4.4,-70.7,-1.4,0.13,1.31,-0.41
4962644,-4.0,-67.2,-0.7,0.17,1.24,-0.98
4962694,-4.0,-67.2,-0.7,0.25,0.71,0.08
4962744,-3.3,-62.9,-0.1,0.40,0.10,0.23
4962794,-3.3,-62.9,-0.1,0.50,0.43,-0.04
4962844,-2.6,-58.7,1.7,0.54,0.78,-0.07
4962894,-2.6,-58.7,1.7,0.68,0.53,-0.17
4962944,-1.6,-54.8,3.3,0.94,-0.07,0.98
4962994,-1.6,-54.8,3.3,0.70,0.25,0.84
4963044,-2.3,-51.6,3.9,0.70,-0.06,0.04
4963095,-2.3,-51.6,3.9,1.12,-0.64,0.15
4963145,-2.9,-49.6,4.1,1.05,-0.77,-0.11
4963195,-2.9,-49.6,4.1,1.07,-0.55,0.00
4963245,-3.2,-48.4,4.5,0.82,0.09,-0.31
4963296,-3.2,-48.4,4.5,1.02,-0.68,-0.68
4963346,-2.7,-47.9,4.6,0.50,-0.14,-0.33
4963396,-2.6,-47.6,4.6,0.49,-0.51,-0.42
4963446,-1.1,-47.3,3.4,0.37,-1.41,0.18
4963496,-1.1,-47.3,3.4,-0.23,-0.43,0.60
4963546,-0.2,-48.0,3.4,-0.14,-0.88,0.10
4963596,-0.2,-48.0,3.4,-0.08,-1.07,0.45
4963646,-0.1,-49.5,3.3,-0.43,-0.63,0.30
4963696,-0.1,-49.5,3.3,0.13,-1.19,-0.05
4963746,-0.1,-51.2,3.5,-0.46,-0.49,-0.55
4963796,-0.1,-51.2,3.5,-0.33,-0.96,-0.25
4963846,0.1,-53.3,3.1,-0.64,-0.03,0.38
4963896,0.1,-53.3,3.1,-0.52,0.14,0.03
4963946,-0.8,-55.4,2.6,-0.39,-0.30,-0.09
4963996,-0.8,-55.4,2.6,-0.27,0.31,-0.79
4964046,-0.6,-57.1,2.0,-0.29,0.02,0.10
4964096,-0.6,-57.1,2.0,-0.27,-0.30,0.30
4964146,-0.4,-59.1,1.8,-0.19,-0.46,0.03
4964196,-0.4,-59.1,1.8,-0.34,-0.42,0.26
4964246,-0.8,-61.6,1.1,-0.82,-0.53,0.26
4964296,-0.8,-61.6,1.1,-0.90,-0.07,-0.24
4964346,-1.2,-64.9,0.7,-0.74,-0.37,-0.01
4964396,-1.2,-64.9,0.7,-1.28,-0.13,0.34
4964446,-1.9,-68.2,-0.2,-1.03,-0.19,0.30
4964496,-1.9,-68.2,-0.2,-1.10,-0.31,-0.12
4964546,-2.4,-72.1,-0.1,-0.79,-0.46,-0.35
4964596,-2.4,-72.1,-0.1,-1.18,0.30,0.30
4964646,-3.6,-76.3,0.0,-0.88,-0.57,0.04
4964696,-3.6,-76.3,0.0,-1.17,0.43,0.00
4964746,-5.3,-80.4,-0.2,-0.66,-0.23,-0.37
4964796,-5.3,-80.4,-0.2,-0.76,-0.17,-0.44
